trial,optimizer,learning_rate,dropout_rate,unfreeze_layers,train_accuracy,train_f1_score,val_accuracy,val_f1_score,test_accuracy,test_f1_score
Trial_38_RMSPROP_LR_0.001_DO_0.2_UF_10,rmsprop,0.001,0.2,10,0.99824,0.9982356765782647,0.9776161163961947,0.9774714554791688,0.9753914988814317,0.9751948527945973
Trial_10_ADAM_LR_0.001_DO_0.5_UF_10,adam,0.001,0.5,10,0.99744,0.997434073510844,0.9731393396754336,0.9730204967541863,0.9653243847874721,0.9651283736721059
Trial_7_ADAM_LR_0.001_DO_0.3_UF_20,adam,0.001,0.3,20,0.9968,0.9967892445577887,0.9709009513150532,0.9703139515231919,0.9675615212527964,0.9669369523278172
Trial_2_ADAM_LR_0.001_DO_0.2_UF_10,adam,0.001,0.2,10,0.99776,0.9977530440439659,0.9692221600447678,0.9689472338780565,0.9653243847874721,0.9648408686325104
Trial_39_RMSPROP_LR_0.001_DO_0.2_UF_20,rmsprop,0.001,0.2,20,0.99184,0.9918045114913877,0.9647453833240067,0.9640553666188163,0.9608501118568232,0.9602899112092705
Trial_56_RMSPROP_LR_0.0001_DO_0.3_UF_40,rmsprop,0.0001,0.3,40,0.98416,0.983997138232365,0.9602686066032456,0.9594463492929006,0.9541387024608501,0.9533232470511462
Trial_6_ADAM_LR_0.001_DO_0.3_UF_10,adam,0.001,0.3,10,0.99312,0.9931158496676441,0.9591494124230554,0.958497487846413,0.9541387024608501,0.9533541922398862
Trial_42_RMSPROP_LR_0.001_DO_0.3_UF_10,rmsprop,0.001,0.3,10,0.99168,0.9916540859214465,0.9585898153329603,0.9581797108245389,0.9574944071588367,0.9565840560594926
Trial_37_RMSPROP_LR_0.001_DO_0.2_UF_0,rmsprop,0.001,0.2,0,0.97472,0.974728952539755,0.9580302182428652,0.9580339826305768,0.9474272930648769,0.9476025835670016
Trial_43_RMSPROP_LR_0.001_DO_0.3_UF_20,rmsprop,0.001,0.3,20,0.98352,0.9831844512739808,0.9563514269725797,0.954864622591068,0.9519015659955258,0.9493984189727038
Trial_48_RMSPROP_LR_0.001_DO_0.5_UF_40,rmsprop,0.001,0.5,40,0.97296,0.9728012267057748,0.9546726357022943,0.9543586047880543,0.9440715883668904,0.9440556038240064
Trial_1_ADAM_LR_0.001_DO_0.2_UF_0,adam,0.001,0.2,0,0.9696,0.9696247829479577,0.9546726357022943,0.9546728513430739,0.9552572706935123,0.9554246796378971
Trial_41_RMSPROP_LR_0.001_DO_0.3_UF_0,rmsprop,0.001,0.3,0,0.97008,0.9700808665884285,0.9541130386121992,0.9542145643520865,0.9552572706935123,0.9554348382345063
Trial_47_RMSPROP_LR_0.001_DO_0.5_UF_20,rmsprop,0.001,0.5,20,0.98272,0.9823522683918042,0.9535534415221041,0.9518298973061352,0.9530201342281879,0.9519862913238945
Trial_5_ADAM_LR_0.001_DO_0.3_UF_0,adam,0.001,0.3,0,0.96656,0.9665940670800276,0.9524342473419138,0.9524436071954078,0.9485458612975392,0.9488358317505547
Trial_11_ADAM_LR_0.001_DO_0.5_UF_20,adam,0.001,0.5,20,0.97792,0.9771711008365458,0.9518746502518187,0.9489443146509863,0.9384787472035794,0.9337431436257555
Trial_4_ADAM_LR_0.001_DO_0.2_UF_40,adam,0.001,0.2,40,0.96928,0.9690477767546506,0.9501958589815332,0.9496819611162723,0.9463087248322147,0.945454225614614
Trial_3_ADAM_LR_0.001_DO_0.2_UF_20,adam,0.001,0.2,20,0.98032,0.9799799918827868,0.9496362618914381,0.9477399838335263,0.9373601789709173,0.9339231095761696
Trial_45_RMSPROP_LR_0.001_DO_0.5_UF_0,rmsprop,0.001,0.5,0,0.95776,0.9578288056350148,0.9457190822607723,0.9457928998991811,0.9507829977628636,0.9510433618097385
Trial_40_RMSPROP_LR_0.001_DO_0.2_UF_40,rmsprop,0.001,0.2,40,0.96624,0.9663442108734246,0.9451594851706772,0.9450366724930394,0.9407158836689038,0.940725500311463
Trial_46_RMSPROP_LR_0.001_DO_0.5_UF_10,rmsprop,0.001,0.5,10,0.9792,0.9790966179433171,0.9434806939003917,0.9432541726112186,0.9328859060402684,0.9328249914885972
