trial	optimizer	learning_rate	dropout_rate	train_accuracy	train_f1_score	val_accuracy	val_f1_score	test_accuracy	test_f1_score
Trial_13_RMSPROP_LR_0.0001_DO_0.2	rmsprop	0.0001	0.2	0.981096762	0.981115665	0.960707269	0.960595347	0.972513089	0.972328371
Trial_4_ADAM_LR_0.0001_DO_0.2	adam	0.0001	0.2	0.981096762	0.981083762	0.952848723	0.952745171	0.956806283	0.956596181
Trial_15_RMSPROP_LR_0.0001_DO_0.5	rmsprop	0.0001	0.5	0.964813775	0.965417088	0.939096267	0.940356328	0.946335079	0.94704651
Trial_14_RMSPROP_LR_0.0001_DO_0.3	rmsprop	0.0001	0.3	0.967246865	0.966910185	0.937131631	0.936391265	0.939790576	0.938456091
Trial_8_ADAM_LR_5e-05_DO_0.3	adam	5.00E-05	0.3	0.955830058	0.955895724	0.926653569	0.926658261	0.930628272	0.931011284
Trial_5_ADAM_LR_0.0001_DO_0.3	adam	0.0001	0.3	0.945536216	0.943724341	0.923379175	0.92009831	0.909685864	0.903785981
Trial_16_RMSPROP_LR_5e-05_DO_0.2	rmsprop	5.00E-05	0.2	0.950776717	0.950690422	0.920104781	0.919394079	0.926701571	0.92637835
Trial_17_RMSPROP_LR_5e-05_DO_0.3	rmsprop	5.00E-05	0.3	0.927381621	0.926889063	0.905042567	0.903674248	0.897905759	0.896616989
Trial_6_ADAM_LR_0.0001_DO_0.5	adam	0.0001	0.5	0.935803856	0.934765617	0.904387688	0.901533342	0.909685864	0.90826641
Trial_7_ADAM_LR_5e-05_DO_0.2	adam	5.00E-05	0.2	0.926632978	0.926014622	0.898493779	0.897575583	0.896596859	0.895038807
Trial_9_ADAM_LR_5e-05_DO_0.5	adam	5.00E-05	0.5	0.913344563	0.912292139	0.893254748	0.892021995	0.891361257	0.888468084
Trial_18_RMSPROP_LR_5e-05_DO_0.5	rmsprop	5.00E-05	0.5	0.907168258	0.904823623	0.886051081	0.881613722	0.883507853	0.881570295
Trial_11_RMSPROP_LR_0.001_DO_0.3	rmsprop	0.001	0.3	0.838293094	0.817697449	0.814669286	0.792461308	0.818062827	0.796510084
Trial_10_RMSPROP_LR_0.001_DO_0.2	rmsprop	0.001	0.2	0.795433277	0.773784952	0.782580223	0.760569967	0.787958115	0.767520469
Trial_3_ADAM_LR_0.001_DO_0.5	adam	0.001	0.5	0.737226277	0.736491167	0.713817944	0.712092134	0.693717277	0.688140873
Trial_12_RMSPROP_LR_0.001_DO_0.5	rmsprop	0.001	0.5	0.711772413	0.678027548	0.703339882	0.680315716	0.706806283	0.666706884
Trial_2_ADAM_LR_0.001_DO_0.3	adam	0.001	0.3	0.670784204	0.644085834	0.675834971	0.645273695	0.637434555	0.606158162
Trial_1_ADAM_LR_0.001_DO_0.2	adam	0.001	0.2	0.647014786	0.630440152	0.618860511	0.601792581	0.630890052	0.613402165
